,anneal_temp_unit,anneal_temperature,anneal_time,anneal_time_unit,contributor_key,cool_method,detector,label,magnification,micrograph_id,micron_bar,micron_bar_px,micron_bar_units,path,primary_microconstituent,sample_id,sample_key
78,,,,,2,,BSE,IN3 Unetched,79x,79,200.0,83,um,micrograph79.tif,sample,45.0,45.0
79,,,,,2,,BSE,SIS_XL.TIF,98x,80,200.0,103,um,micrograph80.tif,network,47.0,47.0
80,C,970.0,90.0,M,2,Q,SE,AC1 970C 90M Q,491x,81,50.0,129,um,micrograph81.tif,,40.0,40.0
81,C,800.0,24.0,H,2,Q,SE,AC1 800C 24H Q,1964X,82,10.0,103,um,micrograph82.tif,spheroidite,6.0,6.0
82,C,1100.0,1.0,H,2,650-1H,SE,AC1 1100C 1H 650C 1H,246x,83,100.0,129,um,micrograph83.tif,,5.0,5.0
83,C,970.0,5.0,M,2,Q,SE,AC1 970C 5M Q,4910X,84,5.0,129,um,micrograph84.tif,crack,38.0,38.0
84,C,970.0,24.0,H,2,Q,SE,AC1 970C 24H Q,491x,85,50.0,129,um,micrograph85.tif,,24.0,24.0
85,C,970.0,3.0,H,2,Q,SE,AC1 970C 3H Q,118x,86,200.0,124,um,micrograph86.tif,network,37.0,37.0
86,,,,,2,,BSE,SIS_XL.TIF,1964X,87,10.0,103,um,micrograph87.tif,hole,47.0,47.0
87,C,970.0,24.0,H,2,Q,BSE,AC1 970C 24H Q,118x,88,200.0,124,um,micrograph88.tif,network,24.0,24.0
88,,,,,2,,SE,SIS_XL.TIF,98X,89,200.0,103,um,micrograph89.tif,network,47.0,47.0
89,C,970.0,24.0,H,2,Q,BSE,AC1 970C 24H Q,982x,90,20.0,103,um,micrograph90.tif,spheroidite,24.0,24.0
90,,,,,2,,SE,SIS_XL.TIF,14731x,91,2.0,154,um,micrograph91.tif,pearlite,47.0,47.0
91,,,,,2,,SE,SIS_XL.TIF,1964X,92,10.0,103,um,micrograph92.tif,,47.0,47.0
92,,,,,2,,SE,ET Gyro,,93,2.0,103,um,micrograph93.tif,quality,42.0,42.0
93,C,970.0,90.0,M,2,Q,BSE,AC1 970C 90M Q,491x,94,50.0,129,um,micrograph94.tif,sample,33.0,33.0
94,C,900.0,90.0,M,2,Q,SE,AC1 900C 90M Q,118x,95,200.0,124,um,micrograph95.tif,network,19.0,19.0
95,,,,,2,,SE,AC1 + vickers mark,2455X,96,10.0,129,um,micrograph96.tif,sample,3.0,3.0
96,C,800.0,24.0,H,2,Q,SE,AC1 800C 24H Q,98x,97,200.0,103,um,micrograph97.tif,network,6.0,6.0
97,C,900.0,24.0,H,2,Q,SE,AC1 900C 24H Q,1964X,98,10.0,103,um,micrograph98.tif,spheroidite,20.0,20.0
98,,,,,2,,BSE,AC1 IS1010H 35X etched,,99,10.0,129,um,micrograph99.tif,martensite,41.0,41.0
99,,,,,2,,SE,,63833X,100,200.0,67,nm,micrograph100.tif,quality,,
100,,,,,2,,BSE,Gaunt - Utah 1.5 yr explant M,117x,101,200.0,123,um,micrograph101.tif,,43.0,43.0
101,,,,,2,,SE,ET Gyro,19641x,102,1.0,103,um,micrograph102.tif,quality,42.0,42.0
102,,,,,2,,SE,SIS_XL.TIF,982x,103,20.0,103,um,micrograph103.tif,,47.0,47.0
103,C,970.0,90.0,M,2,AR,SE,AC1 970C 90M AR,982x,104,20.0,103,um,micrograph104.tif,spheroidite,29.0,29.0
104,,,,,2,,BSE,IN3 Unetched,4910X,105,5.0,129,um,micrograph105.tif,crack,45.0,45.0
105,C,970.0,3.0,H,2,Q,,AC1 970C 3H Q,1964X,106,10.0,103,um,micrograph106.png,spheroidite,37.0,37.0
106,C,970.0,90.0,M,2,Q,SE,AC1 970C 90M Q,1964X,107,10.0,103,um,micrograph107.png,spheroidite,40.0,40.0
107,C,800.0,3.0,H,2,Q,SE,AC1 800C 3H Q,1964X,108,10.0,103,um,micrograph108.tif,crack,14.0,14.0
108,,,,,2,,SE,,4910X,109,5.0,129,um,micrograph109.tif,pearlite+spheroidite,,
109,,,,,2,,BSE,ET Gyro,3437x,110,5.0,90,um,micrograph110.tif,quality,42.0,42.0
110,C,970.0,90.0,M,2,FC,SE,AC1 970C 90M FC,4910X,111,5.0,129,um,micrograph111.tif,pearlite+spheroidite,35.0,35.0
111,,,,,2,,SE,,49X,112,500.0,129,um,micrograph112.tif,network,,
112,C,800.0,3.0,H,2,Q,BSE,AC1 800C 3H Q,98X,113,200.0,103,um,micrograph113.tif,network,7.0,7.0
113,,,,,2,,SE,SIS_XL.TIF,491x,114,50.0,129,um,micrograph114.tif,martensite,47.0,47.0
114,C,970.0,90.0,M,2,FC,SE,AC1 970C 90M FC,491x,115,50.0,129,um,micrograph115.tif,,35.0,35.0
115,,,,,2,,SE,SIS_XL.TIF,1473X,116,20.0,154,um,micrograph116.tif,,47.0,47.0
116,,,,,2,,SE,,982x,117,20.0,103,um,micrograph117.tif,hole,,
117,,,,,2,,SE,SIS_XL.TIF,49X,118,500.0,129,um,micrograph118.tif,,47.0,47.0
118,C,970.0,90.0,M,2,FC,SE,AC1 970C 90M FC,,119,10.0,129,um,micrograph119.tif,pearlite+spheroidite,35.0,35.0
119,,,,,2,,SE,,982x,120,20.0,103,um,micrograph120.tif,,,
120,,,,,2,,SE,ET Gyro,,121,200.0,103,nm,micrograph121.tif,pearlite,42.0,42.0
121,C,800.0,85.0,H,2,Q,SE,AC1 800C 85H Q,1964X,122,10.0,103,um,micrograph122.tif,spheroidite,17.0,17.0
122,,,,,2,,BSE,SIS_XL.TIF,246x,123,100.0,129,um,micrograph123.bmp,indent,47.0,47.0
123,C,800.0,3.0,H,2,Q,SE,AC1 800C 3H Q,1964X,124,10.0,103,um,micrograph124.tif,spheroidite,14.0,14.0
124,C,970.0,24.0,H,2,FC,SE,AC1 970C 24H FC,982x,125,20.0,103,um,micrograph125.tif,,30.0,30.0
125,,,,,2,,SE,,,126,10.0,129,um,micrograph126.tif,pearlite,,
126,,,,,2,,SE,,49X,127,500.0,129,um,micrograph127.tif,network,,
127,,,,,2,,SE,,49X,128,500.0,129,um,micrograph128.tif,network,,
128,,,,,2,,BSE,SIS_XL.TIF,,129,10.0,129,um,micrograph129.bmp,crack,47.0,47.0
129,,,,,2,,SE,SIS_XL.TIF,24551X,130,1.0,129,um,micrograph130.tif,pearlite,47.0,47.0
130,,,,,2,,SE,,786x,131,20.0,83,um,micrograph131.tif,pearlite+spheroidite,,
131,,,,,2,,SE,IN1 Etched Sample,491x,132,50.0,129,um,micrograph132.tif,,44.0,44.0
132,C,1000.0,5.0,M,2,Q,SE,AC1 1000C 5M Q,98X,133,200.0,103,um,micrograph133.tif,network,4.0,4.0
133,,,,,2,,SE,SIS_XL.TIF,3437X,134,5.0,90,um,micrograph134.tif,hole,47.0,47.0
134,C,970.0,3.0,H,2,Q,,AC1 970C 3H Q,1473X,135,20.0,154,um,micrograph135.tif,spheroidite,26.0,26.0
135,C,700.0,5.0,M,2,Q,SE,AC1 700C 5M Q,491x,136,50.0,129,um,micrograph136.tif,,9.0,9.0
136,,,,,2,,SE,,4910x,137,5.0,129,um,micrograph137.tif,pearlite+spheroidite,,
137,C,970.0,48.0,H,2,Q,SE,AC1 970C 48H Q,491x,138,50.0,129,um,micrograph138.tif,spheroidite,27.0,27.0
138,,,,,2,,SE,SIS_XL.TIF,982x,139,20.0,103,um,micrograph139.tif,hole,47.0,47.0
139,,,,,2,,BSE,SIS_XL.TIF,246x,140,100.0,129,um,micrograph140.bmp,indent,47.0,47.0
140,C,800.0,24.0,H,2,Q,SE,AC1 800C 24H Q,,141,2.0,83,um,micrograph141.tif,quality,6.0,6.0
141,,,,,2,,BSE,,,142,100.0,103,um,micrograph142.tif,,,
142,,,,,2,,SE,,4910X,143,5.0,129,um,micrograph143.tif,,,
143,,,,,2,,BSE,,982x,144,20.0,103,um,micrograph144.tif,,,
144,,,,,2,,BSE,SIS_XL.TIF,246x,145,100.0,129,um,micrograph145.bmp,indent,47.0,47.0
145,,,,,2,,SE,,,146,2.0,103,um,micrograph146.tif,,,
146,,,,,2,,SE,SIS_XL.TIF,246x,147,100.0,129,um,micrograph147.bmp,indent,47.0,47.0
147,C,900.0,90.0,M,2,Q,SE,AC1 900C 90M Q,3437x,148,5.0,90,um,micrograph148.tif,spheroidite,19.0,19.0
148,,,,,2,,SE,IN1 Etched Sample,11785x,149,2.0,124,um,micrograph149.tif,hole,44.0,44.0
149,C,970.0,90.0,M,2,FC,SE,AC1 970C 90M FC,98X,150,200.0,103,um,micrograph150.tif,network,35.0,35.0
150,C,970.0,24.0,H,2,FC,SE,AC1 970C 24H FC,638x,151,20.0,67,um,micrograph151.tif,,30.0,30.0
151,C,970.0,3.0,H,2,Q,,AC1 970C 3H Q,1964X,152,10.0,103,um,micrograph152.png,spheroidite,37.0,37.0
152,,,,,2,,BSE,IN3 Unetched,35x,153,500.0,93,um,micrograph153.tif,sample,45.0,45.0
153,C,970.0,24.0,H,2,Q,BSE,AC1 970C 24H Q,1473X,154,20.0,154,um,micrograph154.tif,spheroidite,24.0,24.0
154,,,,,2,,BSE,,1964X,155,10.0,103,um,micrograph155.tif,,,
155,C,970.0,24.0,H,2,Q,SE,AC1 970C 24H Q,1964X,156,10.0,103,um,micrograph156.png,spheroidite,36.0,36.0
156,,,,,2,,SE,ET Gyro,,157,500.0,129,um,micrograph157.tif,network,42.0,42.0
157,C,1100.0,1.0,H,2,650-1H,SE,AC1 1100C 1H 650C 1H,,158,100.0,103,um,micrograph158.tif,,5.0,5.0
158,,,,,2,,SE,,,159,500.0,129,um,micrograph159.tif,,,
159,C,970.0,8.0,H,2,Q,SE,AC1 970C 8H Q,1473X,160,20.0,154,um,micrograph160.tif,spheroidite,28.0,28.0
160,C,900.0,3.0,H,2,Q,SE,AC1 900C 3H Q,1964X,161,10.0,103,um,micrograph161.tif,spheroidite,21.0,21.0
161,C,970.0,48.0,H,2,Q,SE,AC1 970C 48H Q,491x,162,50.0,129,um,micrograph162.tif,spheroidite,27.0,27.0
162,,,,,2,,SE,Gaunt - Utah 1.5 yr explant M,,163,200.0,105,um,micrograph163.tif,,43.0,43.0
163,,,,,2,,SE,AC1 + vickers mark,638x,164,20.0,67,um,micrograph164.tif,,3.0,3.0
164,,,,,2,,SE,,,165,100.0,103,um,micrograph165.tif,,,
165,,,,,2,,SE,,4910X,166,5.0,129,um,micrograph166.tif,pearlite+spheroidite,,
166,,,,,2,,SE,,491x,167,50.0,129,um,micrograph167.tif,,,
167,,,,,2,,BSE,AC1 IS1010H 35X etched,98x,168,200.0,103,um,micrograph168.tif,martensite,41.0,41.0
168,C,800.0,85.0,H,2,Q,SE,AC1 800C 85H Q,1964X,169,10.0,103,um,micrograph169.tif,spheroidite,17.0,17.0
169,C,800.0,24.0,H,2,Q,SE,AC1 800C 24H Q,1964X,170,10.0,103,um,micrograph170.tif,spheroidite,6.0,6.0
170,C,970.0,24.0,H,2,Q,SE,AC1 970C 24H Q,491x,171,50.0,129,um,micrograph171.tif,spheroidite,24.0,24.0
171,C,900.0,24.0,H,2,Q,SE,AC1 900C 24H Q,1964X,172,10.0,103,um,micrograph172.tif,spheroidite,20.0,20.0
172,C,970.0,3.0,H,2,Q,,AC1 970C 3H Q,98x,173,200.0,103,um,micrograph173.png,network,37.0,37.0
173,,,,,2,,SE,,491x,174,50.0,129,um,micrograph174.tif,,,
174,,,,,2,,SE,,147x,175,200.0,154,um,micrograph175.tif,,,
175,,,,,2,,BSE,SIS_XL.TIF,4910X,176,5.0,129,um,micrograph176.tif,pearlite,47.0,47.0
176,C,970.0,24.0,H,2,Q,SE,AC1 970C 24H Q,1964X,177,10.0,103,um,micrograph177.png,spheroidite,36.0,36.0
177,C,970.0,24.0,H,2,Q,SE,AC1 970C 24H Q,1964X,178,10.0,103,um,micrograph178.tif,spheroidite,25.0,25.0
178,,,,,2,,SE,IN3 Unetched,19641x,179,1.0,103,um,micrograph179.tif,sample,45.0,45.0
179,,,,,2,,SE,SIS_XL.TIF,24551X,180,1.0,129,um,micrograph180.tif,pearlite,47.0,47.0
180,C,970.0,90.0,M,2,FC,,AC1 970C 90M FC,,181,20.0,103,um,micrograph181.tif,figure,35.0,35.0
181,,,,,2,,SE,IN1 Etched Sample,3437x,182,5.0,90,um,micrograph182.jpg,figure,44.0,44.0
182,,,,,2,,BSE,SIS_XL.TIF,491x,183,50.0,129,um,micrograph183.bmp,indent,47.0,47.0
183,C,800.0,8.0,H,2,Q,SE,AC1 800C 8H Q,4910X,184,5.0,129,um,micrograph184.tif,spheroidite,16.0,16.0
184,C,800.0,8.0,H,2,Q,SE,AC 800C 8H Q,,185,2.0,103,um,micrograph185.tif,spheroidite,2.0,2.0
185,,,,,2,,SE,,4910X,186,5.0,129,um,micrograph186.tif,pearlite+spheroidite,,
186,,,,,2,,SE,,,187,100.0,103,um,micrograph187.tif,,,
187,,,,,2,,SE,IN1 Etched Sample,34X,188,500.0,90,um,micrograph188.tif,network,44.0,44.0
188,,,,,2,,BSE,SIS_XL.TIF,98X,189,200.0,103,um,micrograph189.tif,network,47.0,47.0
189,,,,,2,,SE,,491x,190,50.0,129,um,micrograph190.tif,,,
190,C,1000.0,5.0,M,2,Q,SE,AC1 1000C 5M Q,1178X,191,20.0,124,um,micrograph191.tif,spheroidite+widmanstatten,4.0,4.0
191,C,800.0,24.0,H,2,Q,SE,AC1 800C 24H Q,1964X,192,10.0,103,um,micrograph192.tif,spheroidite,6.0,6.0
192,C,1100.0,1.0,H,2,650-1H,SE,AC1 1100C 1H 650C 1H,4910X,193,5.0,129,um,micrograph193.tif,pearlite+spheroidite,5.0,5.0
193,,,,,2,,SE,ET Gyro,,194,2.0,103,um,micrograph194.tif,pearlite,42.0,42.0
194,C,970.0,90.0,M,2,AR,SE,AC1 970C 90M AR,4910X,195,5.0,129,um,micrograph195.tif,spheroidite,29.0,29.0
195,C,970.0,90.0,M,2,Q,SE,AC1 970C 90M Q,4910X,196,5.0,129,um,micrograph196.tif,spheroidite,33.0,33.0
196,,,,,2,,BSE,SIS_XL.TIF,491x,197,50.0,129,um,micrograph197.bmp,indent,47.0,47.0
197,C,700.0,5.0,M,2,Q,SE,AC1 700C 5M Q,19641x,198,1.0,103,um,micrograph198.tif,pearlite,9.0,9.0
198,,,,,2,,SE,,246x,199,100.0,129,um,micrograph199.tif,,,
199,C,970.0,24.0,H,2,Q,SE,AC1 970C 24H Q,246x,200,100.0,129,um,micrograph200.tif,spheroidite+widmanstatten,25.0,25.0
200,,,,,2,,SE,IN1 Etched Sample,982x,201,20.0,103,um,micrograph201.tif,pearlite+spheroidite,44.0,44.0
201,C,970.0,24.0,H,2,Q,SE,AC1 970C 24H Q,982x,202,20.0,103,um,micrograph202.tif,spheroidite,25.0,25.0
202,,,,,2,,BSE,AC1 + vickers mark,98x,203,200.0,103,um,micrograph203.tif,indent,3.0,3.0
203,,,,,2,,SE,,,204,500.0,129,um,micrograph204.tif,network,,
204,C,900.0,90.0,M,2,Q,SE,AC1 900C 90M Q,,205,2.0,103,um,micrograph205.tif,spheroidite,19.0,19.0
205,,,,,2,,SE,,147x,206,200.0,154,um,micrograph206.tif,,,
206,,,,,2,,SE,,1178X,207,20.0,124,um,micrograph207.tif,hole,,
207,,,,,2,,,,,208,100.0,92,mm,micrograph208.tif,hole,,
208,C,970.0,90.0,M,2,AR,SE,AC1 970C 90M AR,4910X,209,5.0,129,um,micrograph209.tif,spheroidite,29.0,29.0
209,C,900.0,3.0,H,2,Q,SE,AC1 900C 3H Q,1964X,210,10.0,103,um,micrograph210.tif,spheroidite,21.0,21.0
210,,,,,2,,SE,IN1 Etched Sample,1964X,211,10.0,103,um,micrograph211.tif,pearlite+spheroidite,44.0,44.0
211,,,,,2,,SE,ET Gyro,,212,2.0,103,um,micrograph212.tif,pearlite,42.0,42.0
212,,,,,2,,SE,,49X,213,500.0,129,um,micrograph213.tif,,,
213,C,970.0,5.0,M,2,FC,SE,AC1 970 5M FC,1964X,214,10.0,103,um,micrograph214.tif,spheroidite+widmanstatten,34.0,34.0
214,,,,,2,,BSE,,3437x,215,5.0,90,um,micrograph215.tif,,,
215,C,900.0,5.0,M,2,Q,SE,AC1 900C 5M Q,1964X,216,10.0,103,um,micrograph216.tif,,22.0,22.0
216,,,,,2,,SE,,49102x,217,500.0,129,nm,micrograph217.tif,quality,,
217,C,750.0,5.0,M,2,Q,SE,AC1 750C 5M Q,,218,2.0,83,um,micrograph218.tif,pearlite,10.0,10.0
218,,,,,2,,SE,SIS_XL.TIF,118x,219,200.0,124,um,micrograph219.tif,sample,47.0,47.0
219,C,800.0,8.0,H,2,Q,SE,AC1 800C 8H Q,982x,220,20.0,103,um,micrograph220.tif,spheroidite,16.0,16.0
220,C,970.0,5.0,M,2,FC,SE,AC1 970 5M FC,1473X,221,20.0,154,um,micrograph221.tif,spheroidite+widmanstatten,34.0,34.0
221,C,970.0,5.0,M,2,FC,SE,AC1 970 5M FC,1473X,222,20.0,154,um,micrograph222.tif,spheroidite+widmanstatten,34.0,34.0
222,C,970.0,3.0,H,2,Q,,AC1 970C 3H Q,1964X,223,10.0,103,um,micrograph223.png,spheroidite,37.0,37.0
223,C,970.0,90.0,M,2,FC,SE,AC1 970C 90M FC,1964X,224,10.0,103,um,micrograph224.tif,pearlite+spheroidite,35.0,35.0
224,,,,,2,,SE,SIS_XL.TIF,491x,225,50.0,129,um,micrograph225.bmp,indent,47.0,47.0
225,,,,,2,,SE,SIS_XL.TIF,98X,226,200.0,103,um,micrograph226.tif,hole,47.0,47.0
226,,,,,2,,BSE,IN3 Unetched,246x,227,100.0,129,um,micrograph227.tif,crack,45.0,45.0
227,,,,,2,,SE,SIS_XL.TIF,98X,228,200.0,103,um,micrograph228.tif,,47.0,47.0
228,C,970.0,3.0,H,2,Q,SE,AC1 970C 3H Q,98X,229,200.0,103,um,micrograph229.tif,network,37.0,37.0
229,,,,,2,,BSE,,,230,500.0,129,um,micrograph230.tif,crack,,
230,C,900.0,3.0,H,2,Q,SE,AC1 900C 3H Q,982x,231,20.0,103,um,micrograph231.tif,spheroidite,21.0,21.0
